,source_sentence,label,human,time,location
386,"Dorrington and three of her Richmond teammates — Deborah Griffin, Alice Cooper, and Mary Forsyth, organized the first Women""s Rugby World Cup in Wales in 1991.",competition,Alice Cooper,1991,Wales
387,"After university in 1982, he was assigned to the Central Party School of the Chinese Communist Party, where he was promoted to associate professor in December 1987 and to full professor in July 1993.",career,he,December 1987,Central Party School of Chinese Communist Party
388,"He bought a farm of 300 acres in Engeham, Kent for a retirement career in June 1945, with advice from his brother-in-law Jack Thompson.",purchase and sell,He,June 1945,Engeham
389,"In 2007 Michal won a silver medal at World Championships 2007 in Belgrade, Serbia, later bettering it at the European Championships 2008 held in Porto, Portugal by winning gold.  This would likely be his last amateur competition as he was increasingly becoming involved on the professional circuit.",competition,Michal,2007,Belgrade
390,Smith made a single first-class appearance for Warwickshire against Hampshire at Edgbaston in the 1906 County Championship.,competition,Smith,1906,Warwickshire
391,"From 2008 - 2013 he was the Dean at MHMK, Munich, Germany.",career,he,2008 - 2013,MHMK
392,"GermanRudolph Wilde (born 26 May 1857 in Deutsch Krone (West Prussia) (today Wałcz, Poland); died 1 November 1910 in Schöneberg, German Empire) was a German local politician and Mayor of the then independent city of Schöneberg, now a part of Berlin.",birth,GermanRudolph Wilde,26 May 1857,Wałcz
393,They revolted and in April 1348 defeated his army near Kairouan.,military,They,April 1348,Kairouan
394,He returned to Barcelona in 1860 and assisted with decorating the façade at the Palau de la Generalitat de Catalunya,movement,He,1860,Barcelona
395,"After high school Lavelle attended the Tisch School of the Arts at New York University, graduating in 2004 with a Bachelor of Fine Arts in Drama.",education,Lavelle,2004,Tisch School of Arts
396,"Julian Lennon was born John Charles Julian Lennon, on 8 April 1963 at Sefton General Hospital in Liverpool to John Lennon and Cynthia Powell.",birth,John Charles Julian Lennon,8 April 1963,Liverpool
397,"At the 2018 Winter Olympics in Pyeongchang, South Korea, George and Humphries won the bronze medal in the two-woman bobsleigh event.",competition,George,2018,Pyeongchang
398,"Spencer was born November 19, 1882, in Savannah, Georgia, to Captain William H. and Mary Elizabeth Wilson Spencer.",birth,Spencer,"November 19, 1882",Savannah
399,"After Penn and Teach for America, Stroud received his Juris Doctor from Washington and Lee University School of Law in 2015.",education,Stroud,2015,Washington and Lee University School of Law
400,"Harold Charles Schonberg was born in Washington Heights, Manhattan in New York City, New York on 29 November 1915.",birth,Harold Charles Schonberg,29 November 1915,Manhattan
401,"Their first son, Stephen Bone, was born the next year on 13 November 1904 in Chiswick.",birth,Stephen Bone,13 November 1904,Chiswick
402,"Stanisław Sosabowski was born on 8 May 1892 in Stanislau (), in what was then Austria-Hungary and is now Ivano-Frankivsk in western Ukraine.",birth,Stanisław Sosabowski,8 May 1892,Stanislau
403,"Park was born in Yecheon County of North Gyeongsang, Joseon in Japanese-occupied South Korea on November 15, 1931.",birth,Park,"November 15, 1931",Yecheon County
404,"""In 1952, the chemical bonding physicist Fritz London (co-author of the London equations) was interested in the properties of liquid helium and recruited Fairbank to become an Associate Professor of Physics at Duke University.",career,Fairbank,1952,Duke University
405,"Apperley was born at Ventnor, on the Isle of Wight, in 1884.",birth,Apperley,1884,Ventnor
406,"He retired in 1898 to Seabrook and died the following year of Bright""s disease.",career,He,1898,Seabrook
407,"In 1824 he was named an associate professor, an appointment that was made against the will of Leopold Gmelin, a professor of chemistry at Heidelberg.",career,Leopold Gmelin,1824,Heidelberg
408,"Together with Pershing and thirty other generals, he set sail for England on 28 May 1917.",movement,Pershing,28 May 1917,England
409,"Christian leaderArmando Trindade (born 25 October 1927 in Karachi, British India (now Pakistan)) studied at St Patrick""s High School, Karachi.",birth,leaderArmando Trindade,25 October 1927,Karachi
410,"He won a gold medal at the 1995 World Orienteering Championships in Detmold with the Swiss relay team (Alain Berger, Christian Aebersold and Urs Flühmann).",competition,He,1995,Detmold
411,Sandbach was born in Edgbaston in 1901.,birth,Sandbach,1901,Edgbaston
412,He retained one public office: he became Commissioner of Toronto Hydro in 1965 and retired in 1979.,career,he,1965,Toronto Hydro
413,"Fukushima accepted to work for Kaminagai, and in 1946 he moved to Santa Teresa.",career,Kaminagai,1946,Santa Teresa
414,"During the summer of 1349 he raided the outskirts of Alcaraz and Quesada, and besieged Écija.",military,he,the summer of 1349,Alcaraz
415,"Professor Goodwin has been the head of  Oxford University""s Department of Psychiatry since 2006, and a fellow of Merton College, Oxford since 1996.",career,Goodwin,2006,Oxford
416,"In 1981, Heng Pov married Tung Thi Van, the daughter of Tung Pov, Vietnamese government agent based in Phnom Penh.",marriage,Tung Thi Van,1981,Phnom Penh
417,"He was moved into Alcide on 15 July 1779, in the fleet of Admiral Rodney, then bound for Gibraltar.",military,He,15 July 1779,Alcide
418,"He then studied law, was admitted to the bar in 1840, and began practice in Beverly.",career,He,1840,Beverly
419,"Mackenzie Trench married Dorothy Olare Buswell Booth on 31 August 1912 at the Church of Emmanuel, East Dulwich.",marriage,Mackenzie Trench,31 August 1912,Church of Emmanuel
420,His family had lived in the area since Martin Blackford emigrated from Scotland in 1751.,settlement,Martin Blackford,1751,Scotland
421,"Antonin Personnaz was born in 1854 (1855, according to James) in Bayonne into a wealthy family of fabric exporters of Sephardic origin, from the commune of Bessans.",birth,James,1854,Bayonne
422,"Cláudio Salvador Lembo (Portuguese pronunciation: [ˈklawdju ˈlẽbu]; born 12 October 1934 in São Paulo) is a Brazilian lawyer, politician and university professor from Neapolitan background.",birth,Cláudio Salvador Lembo,12 October 1934,São Paulo
423,"He received his MS and Ph.D degree in Computer Science from the University of Texas at Austin in 1994 and 1998, where he was advised by Harrick M. Vin.",education,He,1994,University of Texas at Austin
424,"He matriculated at Christ Church, Oxford, in 1547, where he took his MA on 17 February 1554, amongst a very distinguished cohort that included : Lawrence Humphrey, John ab Ulmis, and James Calfhill.",education,he,17 February 1554,Oxford
425,"He was born at Hinton, near Peterchurch, Herefordshire on 26 May 1827, and was apprenticed at the age of 12 years to a drapery establishment in Hereford, and in 1845 he proceeded to London, where he worked for Goode, Gainsborough and Co. and was, with later fellow-Adelaidean R. A. Tarlton, one of the first members of YMCA and closely identified with its founder Sir George Williams.",career,he,1845,London
426,"She received an athletic scholarship to attend the University of Florida in Gainesville, Florida, where she was a member of the Florida Gators track and field team in National Collegiate Athletics Association (NCAA) competition from 1989 to 1992.",competition,She,1989 to 1992,Gainesville
427,"She graduated the Kathak Examination from  Prayag Sangeet Samiti, Allahabad at the age of 11.",education,She,the age of 11,Allahabad
428,"Sasnal finished his studies in 1999, and then worked briefly for advertising companies in Kraków while also making paintings, graphic novels (his strips are regularly published in Machina and Przekroj, two Polish periodicals), photographs, and films.",career,Sasnal,1999,Kraków
429,He was Surrogate of Livingston County from 1836 to 1840 and from 1844 to 1847.,career,He,1836 to 1840,Livingston County
430,He completed his secondary school studies in Brno at Gymnázium třída Kapitána Jaroše in 1948.,education,He,1948,Brno
431,"For the fourth time in 2012, he started from the reversed grid pole at Suzuka; he led from start to finish to claim his second win of the season ahead of independent rival Pepe Oriola and Gabriele Tarquini.",competition,he,2012,Suzuka
432,In 1971 Wilson took a PhD in History from the University of North Carolina.,education,Wilson,1971,University of North Carolina
433,"During his time in Argentina he had a daughter, Rosamund Ann Staniforth, on 4 April 1928; she would go on to marry Charles Edward Byron Du Cane, son of Charles Henry Copley Du Cane, and grandson of Charles Du Cane.",birth,Rosamund Ann Staniforth,4 April 1928,Argentina
434,"On 15 June 1927, Missoffe was born in the 9th arrondissement of Paris.",birth,Missoffe,15 June 1927,Paris
435,"In 1985, the Vatican hosted a colloquium on ""Adrienne von Speyr e la sua missione ecclesiale"" [Adrienne von Speyr and her ecclesial mission], with presentations by Angelo Scola, Antonio Sicari, Marc Ouellet, Joseph Fessio, SJ and others.",assembly,Joseph Fessio,1985,Vatican
436,"On August 16, 2022, he was called up to the United States men""s national under-17 soccer team.",career,he,"August 16, 2022",United States
437,He won the Liverpool Senior City Scholarship in 1966 which enabled him to study in Paris at Atelier 17 under S.W. Hayter.,education,He,1966,Paris
438,Banfield was a government delegate representing the work people at Geneva from 1924 to 1925.,career,Banfield,1924 to 1925,Geneva
439,"He received his episcopal consecration on the following 21 September from Pope John himself, with Archbishops Francesco Carpino and Pietro Parente serving as co-consecrators, in the Lateran Basilica.",assembly,Francesco Carpino,the following 21 September,Lateran Basilica
440,"On 15 May, they led a crowd, demonstrating against the government; the riot was bloodily suppressed by the bourgeois National Guards, and Albert and Barbès were captured at the Hôtel de Ville.",justice,Barbès,15 May,Hôtel de Ville
441,"In the 1950s, Nakdimen attended the University of Kentucky as a Journalism student, where he performed research, collecting folklore in 1954 for William Hugh Jansen.",education,Nakdimen,1954,University of Kentucky
442,"He was born near Rochester, Kent, England, in 1852.",birth,He,1852,Rochester
443,"On October 10, 2020 Madman Pondo defeated Poindexter in Erie, Michigan",competition,Pondo,"October 10, 2020",Erie
444,"From 1932 to 1934, he was naval attaché to the United Kingdom.",career,he,1932 to 1934,United Kingdom
445,She earned a habilitation at the University of Campinas in 1987.,education,She,1987,University of Campinas
446,He joined the British Museum in 1861.,career,He,1861,British Museum
447,"He then attended Harvard College, from which he graduated in 1967 with an A.B. degree magna cum laude and membership in Phi Beta Kappa.",education,He,1967,Harvard College
448,"She visited Europe in 1890, being gone for months, and satisfied some of her longings for the beautiful, in the scenes she visited, the paintings and statues she saw.",movement,She,1890,Europe
449,"In late 1901, he was appointed first secretary at the embassy in Rome, where he arrived in 1902, and remained for the next two years.",career,he,1902,Rome
450,"After attending Nakasero Primary School and Gayaza High School, she entered the National Teacher""s College Kyambogo in 1981.",education,she,1981,Nakasero Primary School
451,"Only in 1831 they allowed him to go to Berlin as a student of theorist Siegfried Wilhelm Dehn, of Carl Friedrich Zelter and  Bernhard Klein.",education,they,1831,Berlin
452,"Since the late 1970s, she has exhibited widely in Denmark and abroad.",performance,she,the late 1970s,Denmark
453,"Vengerov moved to Israel with his parents and grandmother in 1990, when he was 16.",movement,he,1990,Israel
454,"Tithraustes was sent to assassinate Tissaphernes, who was lured to Ariaeus"" residence in Colossae and slain in 395 BC.",death,Ariaeus,395 BC,Colossae
455,"Barrett, the second oldest in a family of ten children, graduated from Reading (MA) High School in 1966, Harvard College magna cum laude in 1970, and Northeastern University School of Law in 1977, after which he clerked for the U,S. District Court in Washington, DC",education,Barrett,1966,Reading (MA) High School
456,"Chapman purchased land in Portland from Stephen Coffin and Daniel H. Lownsdale in 1850, which he then cleared and built a home.",purchase and sell,Stephen Coffin,1850,Portland
457,"From 1986 to 1993, she served on the board of the Institut für Neue Musik und Musikerziehung Darmstadt (Institute for New Music and Music Education Darmstadt).",career,she,1986,Institut für Neue Musik und Musikerziehung Darmstadt
458,"Patrick Vallance was born on 17 March 1960 to Peter and Barbara Vallance, in south-west Essex, now part of Greater London.",birth,Patrick Vallance,17 March 1960,Essex
459,"He finished the fall season at the 2021 CS Golden Spin of Zagreb, where he was sixth.",competition,he,2021,Zagreb
460,Irene Wosikowski was unable to comply with the requirement because she was arrested overnight on 12/13 May and taken to the Gurs internment camp to the south of Bordeaux.,justice,she,12/13 May,Bordeaux
461,"Walter van Laack (born 1957 in Cologne) is a German specialist in orthopedics, Special Orthopaedic Surgery and Sports Medicine.",birth,Walter van Laack,1957,Cologne
462,"She began attending Dana Hall School in Wellesley, Massachusetts, in 1926, where she did well in athletics.",education,she,1926,Wellesley
463,"Born in Montreal, Quebec, Canada, Bloomfield received a B.A. (1934) and M.A. (1935) from McGill University and a Ph.D. (1938) from the University of Wisconsin.",education,Bloomfield,1934,Montreal
464,"In 1990, Brott moved back to Montreal, with plans to make classical music more accessible to the public by developing an international chamber music festival.",start org,Brott,1990,Montreal
465,"Born Nicolas-François Blondel at Ribemont in the Picardy region of France, he was baptized on 15 June 1618.",birth,he,15 June 1618,Ribemont
466,"Gabriel died in Arlington County, Virginia, of Alzheimer""s disease, on September 4, 2003.",death,Gabriel,"September 4, 2003",Virginia
467,"In 1962, Lü went to Japan to study at Musashino Academia Musicae as a violin major.",education,Lü,1962,Japan
468,"His wife moved to Invercargill, and when she died in 1878, she was buried next to him.",death,she,1878,Invercargill
469,She is a specialist in political science and is a professor at the prívate college Instituto Tecnológico Autónomo de México where she has taught courses on contemporary Mexican politics and comparative politics since 1991.,career,She,1991,Instituto Tecnológico Autónomo de México
470,"He married Frances (née Dalton) in Lambeth in 1873, and the couple had a son, Rudolph Charles Lewis (1877–1942) and a daughter, Frances Louisa Elizabeth Lewis (born 1881).",marriage,He,1873,Lambeth
471,In 1984 he moved to Brighton and began his illustration career.,career,he,1984,Brighton
472,"Cristin was born on April 12, 1989, in Harrisburg, Pennsylvania, and was raised by a single mother.",birth,Cristin,"April 12, 1989",Harrisburg
473,"He also won the 2001 Milan Marathon, setting a personal best of 2:08:57 hours.",competition,He,2001,Milan Marathon
474,"Fukashi faced the former K-1 Lightweight champion Kenta Hayashi in a rematch at K-1 World GP 2022 in Osaka on December 3, 2022.",competition,Fukashi,"December 3, 2022",Osaka
475,Dominik Trčka was born in 1886 in the Czech Republic as the last of seven children to Tomáš Trčka and Františka Šterbová.,birth,Tomáš Trčka,1886,Czech Republic
476,Gibbon has taught at Bemidji State University since 2006 in the English department.,career,Gibbon,2006,Bemidji State University
477,"Touhy left Statesville Prison on November 24, 1959, having served exactly 25 years and nine months.",justice,Touhy,"November 24, 1959",Statesville Prison
478,In 1957 he was promoted to captain and served as a naval attaché in London and The Hague from 1957 to 1960.,career,he,1957,London
479,"Thomas Merrill Ferrell (June 20, 1844 – October 20, 1916) was an American Democratic Party politician who represented New Jersey""s 1st congressional district in the United States House of Representatives for one term from 1883 to 1885.Born in Glassboro, New Jersey, Ferrell attended the common schools and completed an academic course.",birth,Ferrell,"June 20, 1844",Glassboro
480,He was Sheriff of London for the year 1729 to 1730.Williams was returned as Tory MP for Aldeburgh at a by-election on 8 May 1730.,career,He,8 May 1730,Aldeburgh
481,"In 2004, Pagliarini completed his education at The American College, PA with a master""s degree (MA) in Financial Services.",education,Pagliarini,2004,"The American College, PA"
482,"In 1855, he succeeded the botanist Karl Wilhelm von Nägeli (1818–1891) at Freiburg, where he established the most advanced botanical laboratory at the time and directed many students.",career,Karl Wilhelm von Nägeli,1855,Freiburg
483,"Scott was also June 1949 graduate of the Air Command and Staff College, a January 1956 graduate of the Armed Forces Staff College, a July 1963 graduate of the National War College and a 1980 graduate of the Senior Reserve Component Officer Course at the Army War College.",education,Scott,June 1949,Air Command and Staff College
484,"In 1957, Reindl began working for a Prague advertising studio as a graphic artist, specializing in film posters.",career,Reindl,1957,Prague
485,"He served as the head football coach at Arizona State Teachers College at Flagstaff—now known as Northern Arizona University—in 1949, compiling a record of 1–6–1.Ladyko initially played college football at the University of Notre Dame in 1944.",career,He,1949,Arizona State Teachers College at Flagstaff
486,He received his B.S. from Davidson College in 1983.,education,He,1983,Davidson College
487,"In 1983 he was appointed a university research fellow at the University of British Columbia and has spent the remainder of his career to date at that institution, being promoted to full professor in 1990.",career,he,1990,University of British Columbia
488,"One of his daughters, Muddama Mussamat (Ganga Maharani), became the third wife of Jung Bahadur Rana marrying at Benares in December 1850.",marriage,Muddama Mussamat,December 1850,Benares
489,"In 2005, Laurel was an invited Artist in Residence at the Association of Icelandic Visual Artists in Reykjavík, Iceland as well as the Skopelos Foundation for the Arts in Skopelos, Greece",career,Laurel,2005,Reykjavík
490,He is a 1964 graduate of Yale University and received his law degree from the Yale Law School in 1968.,education,He,1964,Yale University
491,"issues NFL biographyWally James Williams, Jr. (born February 20, 1971 in Tallahassee, Florida)",birth,"James Williams, Jr.","February 20, 1971",Tallahassee
492,"He accompanied Mirza Basheer-ud-Din Mahmood Ahmad, the second khalifa of the Ahmadiyyah sect on his journey to Europe in 1924, and participated in the Wembley’s Conference of Living Religions 1924.",assembly,He,1924,Europe
493,"[1]In 1611 Christiaensen paid two visits to Manhattan in his ship Fortuyn, including one with fellow explorer Adriaen Block in his Tyger.",movement,Christiaensen,1611,Manhattan
494,"Unlike many participants in the 1939 Chess Olympiad, Alekhine returned to Europe in January 1940.",movement,Alekhine,January 1940,Europe
495,"Returning once again to Cape Town in 1960, he was given a General Licence (effective from 12 August 1960), and moved to live at 8 Rubicon Road in Rondebosch.",settlement,he,1960,Cape Town
496,"He graduated from Yale University in 1772, studied law in Litchfield, Connecticut, and joined the bar in 1775. needed",education,He,1772,Yale University
497,"In 1981, he left the sandstone Südpfalz region to live in the limestone Frankenjura region, where a group of leading German and British climbers were starting to raise standards, including German climber Kurt Albert and British climber Jerry Moffatt, who both become life-long friends and training partners of Güllich.",settlement,Güllich,1981,Südpfalz
498,"In 2008, Ros moved to the United States, where she was appointed to the faculty of Arizona State University.",career,she,2008,United States
499,"After his appointment as the Acting Bronx County District Attorney, Gentile, a Democrat, decided to seek a full term in the 1988 election.",career,Gentile,1988,Bronx County
500,"In 2003, Haines returned as pastor to St. Frances Cabrini Parish, then in 2004 also appointed to assist at Immaculate Conception/St. Mary’s Parish in West Bend.",career,Haines,2004,St. Frances Cabrini Parish
501,"Frederik IV""s marriage to Anna Sophie divided the royal family and Prince Carl and Princess Sophia Hedwig moved court to Vemmetofte in 1721.",movement,Carl,1721,Vemmetofte
502,Djohar died at his home outside the capital Moroni on 22 February 2006.,death,Djohar,22 February 2006,Moroni
503,"Asahel Bush II died on December 23, 1913, at the age of 89 in Salem and was buried at Salem Pioneer Cemetery.",death,Asahel Bush II,"December 23, 1913",Salem
504,"He graduated from Colerain High School in 1976, and graduated from Oberlin College in 1980 with a political science degree.",education,He,1976,Colerain High School
505,"""He took my mom for every penny she had.""In 1982 her friend Donna Shore organized a memorial for Richards at Carmelo""s Jazz Club in Sherman Oaks, California.",assembly,Donna Shore,1982,California
506,Rucker received his Bachelor of Science (B.S.) in Architecture from the University of Illinois at Urbana-Champaign in 1950; he then worked as a draftsman in Denver and San Diego before moving to Altadena and becoming a licensed architect.,education,Rucker,1950,University of Illinois at Urbana-Champaign
507,"In 1956, the family came to Slovenia, first to Portorož and then to Ljubljana, where Velkaverh lived for the rest of his life.",settlement,Velkaverh,1956,Slovenia
508,"Reis won three gold medals at the 1985 Maccabiah Games in Israel, the doubles bronze medal at the 1986 Goodwill Games, and the doubles gold medal at the 1987 Pan American Games.",competition,Reis,1985,Israel
509,"Lane first visited Italy in 1949, following a German boyfriend from Paris, where he was then studying at the Sorbonne.",movement,Lane,1949,Italy
510,"From 2009, he served as Deputy Head of Sherborne School.",career,he,2009,Sherborne School
511,"In 1945, he worked with Alger Hiss in the executive secretariat to the United Nations Conference on International Organization in San Francisco, California.",career,he,1945,California
512,"In 1999 Jones founded the Institute for Humanist Studies, a humanist think-tank based in Albany, NY, in order to promote a greater understanding of humanist values.",start org,Jones,1999,Albany
513,"Nicholson was born in 1737 in Chestertown, Maryland.",birth,Nicholson,1737,Chestertown
514,"Continuing a run of plays into 1974, Florance appeared in Edward Bond""s comedy drama The Sea (23 April 1974 – 1 June 1974) with Sandy Gore and Bruce Myles at Russell Street Theatre, and George Bernard Shaw""s problem play The Doctor""s Dilemma (27 August 1974 – 5 October 1974) at St Martin""s Theatre.",performance,Bruce Myles,23 April 1974,Russell Street Theatre
515,"He was born in Barraba in 1882, entered St Andrew""s College, University of Sydney where he graduated in 1906, then completed his theological studies before being posted to Manilla in 1908, then Bendemeer, later Guyra in 1912.McKie",birth,He,1882,Barraba
516,"In 2000, he moved to Missoula, Montana, where he worked for a local newspaper.",career,he,2000,Missoula
517,"By 1823 he had recovered from this, and he married Jane Craufurd, the daughter of Sir James Gregan-Craufurd, in Brussels on 12 October.",marriage,Jane Craufurd,12 October,Brussels
518,"He was in private practice in Detroit, Michigan from 1966 to 1968, and in Roseville, Michigan from 1968 to 1978, also serving as a member of the faculty of Detroit College of Law from 1968 to 1969, and as an associate government appeal agent for the Selective Service Administration from 1969 to 1972.",career,He,1966 to 1968,Detroit
519,"In 1905, Loeser graduated from medical school in Chicago and briefly practiced in Kansas before returning to Chicago.",education,Loeser,1905,Chicago
520,"In 1933, Frank Jayne began operating a livestock hauling and trading business in Woodstock, Illinois.",career,Frank Jayne,1933,Woodstock
521,"With this formation, Hamilton was engaged in 1794 during the Second Mysore War fought against the Tipu Sultan, when his troops captured the city of Bangalore which later became part of British East India.",military,Hamilton,1794,Bangalore
522,"In August 2002, Sinchuk participated in a masterclass with Naum Shtarkman at the X International Summer Arts School New Names in Suzdal.",education,Sinchuk,August 2002,Suzdal
523,"He entered the Military Academy of Modena on 14 September 1908, and graduated as cavalry second lieutenant on 19 September 1909.",education,He,14 September 1908,Military Academy of Modena
524,"Guha migrated from India to the United Kingdom in 1959, where he started his career as a reader of history at the University of Sussex.",career,Guha,1959,India
525,"In 1939, at the invitation of Huda Sha""arawi, who was president of the EFU, Thabit and Ceza Nabarawi attended the International Alliance of Women Conference held in Copenhagen.",assembly,Ceza Nabarawi,1939,Copenhagen
526,"Despite his criminal convictions, in 1999 he was granted another student visa to re-enter New Zealand, where he became a pastor with the Assembly of God and established his own church in Auckland, Lord of All.",career,he,1999,Auckland
527,"On the next day, Oggins shipped out to Norillag, where fellow inmates included Jacques Rossi.",meet,Jacques Rossi,the next day,Norillag
528,"Burns"" second wife, Shirley, is American and they have lived in Chicago since 2004.",settlement,they,2004,Chicago
529,"Novodvorskaya was born in 1950 in Baranavichy, Byelorussian SSR to a Jewish engineer, Ilya Borisovich (Boruchovich) Burshtyn, and a pediatrician, Nina Feodorovna Novodvorskaya, who came from a noble Russian family.",give birth,Ilya Borisovich (Boruchovich) Burshtyn,1950,Baranavichy
530,"At the age of 18 she moved to Malibu, California, to study ethnographic film at the University of Southern California and UCLA.",education,she,the age of,Malibu
531,Sıtkı graduated from Kabataş Erkek Lisesi in 1928.,education,Sıtkı,1928,Kabataş Erkek Lisesi
532,"He was back in Ireland by 1522 when he stood surety for Gerald FitzGerald, 9th Earl of Kildare, who was suspected of inciting rebellion.",movement,He,1522,Ireland
533,"In October 1992 she was invited by John Mellencamp to participate in the Bob Dylan Tribute at Madison Square Gardens in New York City, and performed a duet with Mellencamp on the classic Dylan track ""Like a Rolling Stone"".",performance,Dylan,October 1992,Bob Dylan Tribute at Madison Square Gardens
534,"Between 1910 and 1918, he studied law at the University of Vienna, where he obtained his PhD.In 1918",education,he,Between 1910 and 1918,University of Vienna
535,"He was previously a Professor in the Annenberg School for Communication at the University of Southern California, which he joined in 1980, where he was elected President of the Faculty.",career,Annenberg,1980,University of Southern California
536,"He died in Grenoble, a little advanced in age, but consumed with study and work, 15 October 1630, deputy with other prelates of the assembly of the clergy towards the King, who was at Lyons.""— Saint-Simon",death,He,15 October 1630,Grenoble
537,"Taylor met his future wife, Cristina Alicia Hare, in 1979, in Venezuela, where he was posted by his first employer, Shell.",meet,he,1979,Venezuela
538,descriptionMarisa Acocella Marchetto (born 1962 in New Jersey) is an American cartoonist.,birth,descriptionMarisa Acocella Marchetto,1962,New Jersey
539,"In 1987, Pope John Paul II visited to Chile, and Carmen Gloria Quintana met him while he was in Santiago.",meet,John Paul II,1987,Chile
540,"sources personIgor Uporov (in Russian — Igor Nikolaevich Uporov) was born on September 4, 1965, in Tambov province, Russia.",birth,Igor Nikolaevich Uporov,"September 4, 1965",Tambov
541,"In 1988 Bloomfield Galleries, New South Wales held an exhibition of Pidgeon""s war paintings.",exhibition,Pidgeon,1988,Bloomfield Galleries
542,"He studied Bachelor of Arts from A. V. College, Osmania University in 1992.",education,He,1992,A. V. College
543,"Ciccone competed at the 2004 Summer Olympics in Athens, where he scored a total of forty-nine points (the victor got ninety-three) to grab the eighth spot in the men""s points race.",competition,he,2004,Athens
544,"Because of her Jewish heritage the Nazis deported Emmy Mauthner-Förster from Vienna to the Theresienstadt ghetto on July 22, 1942, where she died a few months later shortly after her 77th birthday.",movement,she,"July 22, 1942",Vienna
545,"Danaher was born on 27 July 1908 in Bulimba, a suburb of Brisbane, Queensland, to William Patrick Danaher and Ivy May (née Bagnall).",give birth,Bagnall,27 July 1908,Bulimba
546,"Burke Marshall (October 1, 1922 – June 2, 2003) was an American lawyer and who served as the United States Assistant Attorney General for the Civil Rights Division during the Civil Rights Movement.",birth,Burke Marshall,"October 1, 1922",United States
547,"He died on 11 April 1583 and was buried at Finlarig.
Grey Colin wrote and kept a large number of letters.",death,Grey Colin,11 April 1583,Finlarig
548,"Malveaux""s first television job was with New England Cable News as a general assignment reporter in Boston, from 1992 to 1996.",career,Malveaux,1992 to 1996,Boston
549,"Wallon was born at Valenciennes, Nord on 23 December 1812.",birth,Wallon,23 December 1812,"Valenciennes, Nord"
550,Greenlees attended the Glasgow School of Art in the early 1870s.,education,Greenlees,the early 1870s,Glasgow School of Art
551,"His Requiem was premiered in March 2004 in Adelaide by the Adelaide Symphony Orchestra and Adelaide Chamber Singers conducted by Richard Mills, with didgeridoo soloist William Barton.",performance,William Barton,March 2004,Adelaide
552,"In 1997 O""Neill moved to Burlington, Vermont to work at JDK.",career,"O""Neill",1997,Burlington
553,"He was an intimate friend of bishop Notger of Liège, whom he accompanied to Rome in 989, and at whose instance he wrote several important historical works.",movement,he,989,Liège
554,"They had two sons, Ernest and Louis Christian, and one daughter, Anna Eleonore, who married Emmanuel, Prince of Anhalt-Köthen in Ilsenburg on 23 March 1670.",marriage,Emmanuel,23 March 1670,Ilsenburg
555,He was born in 1874 in Minneapolis and died there in 1957.,birth,He,1874,Minneapolis
556,"In 1945, the Foote family moved to Washington, D.C., and Pat Foote graduated from Central High School in 1947.",movement,Foote,1945,Washington
557,"Tragtenberg was born in São Paulo in 1961, to professor and sociologist Maurício Tragtenberg [pt] and actress Beatriz Tragtenberg [pt].",give birth,Beatriz Tragtenberg,1961,São Paulo
558,"Born in 1827 in Culpeper County, Virginia, Broadus was educated at home and at a private school.",birth,Broadus,1827,Virginia
559,"In March 1857, he was appointed Head Sheristadar of Tanjore and served from 1857 to 1859, when he was made Assistant Imam Commissioner.",career,he,March 1857,Tanjore
560,"was knighted at Holyrood Palace by Mary, Queen of Scots on 8 February 1562 during the festivities at the wedding of the queen""s half-brother Lord James Stewart and Agnes Keith.",assembly,Mary,8 February 1562,Holyrood Palace
561,"He trained at Quantico, Virginia, and New River, North Carolina, then went overseas in June 1942 with 1st Battalion, 1st Marines.",military,He,June 1942,Quantico
562,"He died at 10:50 am on July 4, 1938, in his home in Highland Park, Los Angeles, aged 96.",death,He,"July 4, 1938",Highland Park
563,"Hunton married the former Caroline Homassel Marye at St. Paul""s Episcopal Church on September 28, 1936, in a ceremony officiated by Beverley D. Tucker Jr. and Arthur B. Kinsolving.",marriage,Caroline Homassel Marye,"September 28, 1936","St. Paul""s Episcopal Church"
564,Since 2008 he has an own class at the Lucerne University of Applied Sciences and Arts.,career,he,2008,Lucerne University of Applied Sciences and Arts
565,"Manoy was born in Napier in 1879, the son of Jewish Russian storekeeper and merchant Abraham Manoy and Australian-born Maria Moss.",give birth,Maria Moss,1879,Napier
566,"He married Maria Shireburn, daughter of Sir Nicholas Shireburn, 1st and last Bt., of Stonyhurst Hall, on 26 May 1709, when she was age 16 and a half, with a fortune of more than £30,000.At the time of the Jacobite Rising of 1715",marriage,Maria Shireburn,26 May 1709,Stonyhurst Hall
567,"While in New Brunswick, Robinson married in 1784 Esther Sayre, daughter of Rev. John Sayre, who came to the Colonies on behalf of the Society for the Propagation of the Gospel.",marriage,Robinson,1784,Colonies
568,"sourcesJerry Frissen (born Thierry Frissen in Brussels, on June 2, 1964) is an American comic book writer and a toy designer from Los Angeles, California.",birth,Thierry Frissen,"June 2, 1964",Brussels
569,"Until 1962, he remained with his band performing in different locations in Germany and Scandinavia, recording several records, also with Benny Waters, for different labels, of which the Blues for St. Pauli  became a hit in Germany.",performance,he,1962,Germany
570,"In late 1851, Tubman returned to Dorchester County for the first time since her escape, this time to find her husband John.",movement,Tubman,late 1851,Dorchester County
